sensor_id,timestamps,values,reindexed_id,sin_hour,cos_hour,sin_day,cos_day,sin_month,cos_month
36,2021-06-30 16:03:47.312000,28.55,1,-0.8660254037844385,-0.5000000000000004,-1.133107779529596e-15,1.0,1.2246467991473532e-16,-1.0
36,2021-06-30 16:03:47.516000,36.21,1,-0.8660254037844385,-0.5000000000000004,-1.133107779529596e-15,1.0,1.2246467991473532e-16,-1.0
36,2021-06-30 16:03:47.719000,43.87,1,-0.8660254037844385,-0.5000000000000004,-1.133107779529596e-15,1.0,1.2246467991473532e-16,-1.0
36,2021-06-30 16:03:47.922000,51.07,1,-0.8660254037844385,-0.5000000000000004,-1.133107779529596e-15,1.0,1.2246467991473532e-16,-1.0
36,2021-06-30 16:03:48.126000,59.19,1,-0.8660254037844385,-0.5000000000000004,-1.133107779529596e-15,1.0,1.2246467991473532e-16,-1.0
36,2021-06-30 16:03:48.327000,66.85,1,-0.8660254037844385,-0.5000000000000004,-1.133107779529596e-15,1.0,1.2246467991473532e-16,-1.0
36,2021-06-30 16:03:48.530000,74.51,1,-0.8660254037844385,-0.5000000000000004,-1.133107779529596e-15,1.0,1.2246467991473532e-16,-1.0
36,2021-06-30 16:03:48.734000,82.17,1,-0.8660254037844385,-0.5000000000000004,-1.133107779529596e-15,1.0,1.2246467991473532e-16,-1.0
36,2021-06-30 16:03:48.937000,89.84,1,-0.8660254037844385,-0.5000000000000004,-1.133107779529596e-15,1.0,1.2246467991473532e-16,-1.0
36,2021-06-30 16:03:49.141000,97.5,1,-0.8660254037844385,-0.5000000000000004,-1.133107779529596e-15,1.0,1.2246467991473532e-16,-1.0
36,2021-06-30 16:03:49.343000,104.46,1,-0.8660254037844385,-0.5000000000000004,-1.133107779529596e-15,1.0,1.2246467991473532e-16,-1.0
36,2021-06-30 16:03:49.547000,112.12,1,-0.8660254037844385,-0.5000000000000004,-1.133107779529596e-15,1.0,1.2246467991473532e-16,-1.0
36,2021-06-30 16:03:49.749000,120.48,1,-0.8660254037844385,-0.5000000000000004,-1.133107779529596e-15,1.0,1.2246467991473532e-16,-1.0
36,2021-06-30 16:03:49.957000,127.44,1,-0.8660254037844385,-0.5000000000000004,-1.133107779529596e-15,1.0,1.2246467991473532e-16,-1.0
36,2021-06-30 16:03:50.159000,135.57,1,-0.8660254037844385,-0.5000000000000004,-1.133107779529596e-15,1.0,1.2246467991473532e-16,-1.0
36,2021-06-30 16:03:50.375000,143.92,1,-0.8660254037844385,-0.5000000000000004,-1.133107779529596e-15,1.0,1.2246467991473532e-16,-1.0
36,2021-06-30 16:03:50.578000,151.58,1,-0.8660254037844385,-0.5000000000000004,-1.133107779529596e-15,1.0,1.2246467991473532e-16,-1.0
36,2021-06-30 16:03:50.781000,159.24,1,-0.8660254037844385,-0.5000000000000004,-1.133107779529596e-15,1.0,1.2246467991473532e-16,-1.0
36,2021-06-30 16:03:50.984000,166.67,1,-0.8660254037844385,-0.5000000000000004,-1.133107779529596e-15,1.0,1.2246467991473532e-16,-1.0
36,2021-06-30 16:03:51.189000,174.33,1,-0.8660254037844385,-0.5000000000000004,-1.133107779529596e-15,1.0,1.2246467991473532e-16,-1.0
